timestamp,packet_id,temperature,humidity,gas,alert,temp_alert,gas_alert,buzzer,buzzer_manual,alert_cause
2026-06-03T01:00:48.490454,227,28.0,34,503,1,0,1,0,1,gas
2026-06-03T01:00:50.618955,228,28.0,34,477,0,0,0,0,1,none
2026-06-03T01:00:52.777468,229,28.0,34,425,0,0,0,0,1,none
2026-06-03T01:00:54.959265,230,28.0,34,386,0,0,0,0,1,none
2026-06-03T01:00:57.110421,231,28.0,34,358,0,0,0,0,1,none
2026-06-03T01:00:59.295101,232,28.0,34,337,0,0,0,0,1,none
2026-06-03T01:01:01.459235,233,28.0,34,321,0,0,0,0,1,none
2026-06-03T01:01:03.606117,234,28.0,34,308,0,0,0,0,1,none
2026-06-03T01:01:05.764073,235,28.0,34,297,0,0,0,0,1,none
2026-06-03T01:01:07.904521,236,28.0,34,288,0,0,0,0,1,none
2026-06-03T01:01:10.115872,237,28.0,34,282,0,0,0,0,1,none
2026-06-03T01:01:12.240359,238,28.0,34,339,0,0,0,0,1,none
2026-06-03T01:01:14.380718,239,28.0,34,401,0,0,0,0,1,none
2026-06-03T01:01:16.607441,240,29.0,34,411,0,0,0,0,1,none
2026-06-03T01:01:18.740412,241,29.0,34,348,0,0,0,0,1,none
2026-06-03T01:01:20.920124,242,31.0,33,305,1,1,0,0,1,temperature
2026-06-03T01:01:23.077001,243,32.0,33,263,1,1,0,0,1,temperature
2026-06-03T01:01:25.279587,244,34.0,32,239,1,1,0,0,1,temperature
2026-06-03T01:01:27.389083,245,34.0,32,230,1,1,0,0,1,temperature
2026-06-03T01:01:29.530111,246,35.0,31,226,1,1,0,0,1,temperature
2026-06-03T01:01:31.732790,247,34.0,31,227,1,1,0,0,1,temperature
2026-06-03T01:01:33.880878,248,34.0,31,230,1,1,0,0,1,temperature
2026-06-03T01:01:36.068449,249,34.0,31,232,1,1,0,0,1,temperature
2026-06-03T01:01:38.178157,250,33.0,31,236,1,1,0,0,1,temperature
2026-06-03T01:01:40.358075,251,33.0,31,240,1,1,0,0,1,temperature
2026-06-03T01:01:42.560672,252,33.0,31,242,1,1,0,0,1,temperature
2026-06-03T01:01:44.742531,253,33.0,31,242,1,1,0,0,1,temperature
2026-06-03T01:01:46.891076,254,33.0,31,242,1,1,0,0,1,temperature
2026-06-03T01:01:49.006616,255,33.0,31,243,1,1,0,0,1,temperature
2026-06-03T01:01:51.248125,256,33.0,31,245,1,1,0,0,1,temperature
2026-06-03T01:01:53.342136,257,32.0,32,248,1,1,0,0,1,temperature
2026-06-03T01:01:55.511857,258,32.0,32,250,1,1,0,0,1,temperature
2026-06-03T01:01:57.683630,259,32.0,32,252,1,1,0,0,1,temperature
2026-06-03T01:01:59.834081,260,32.0,32,254,1,1,0,0,1,temperature
2026-06-03T01:02:02.045081,261,32.0,32,256,1,1,0,0,1,temperature
2026-06-03T01:02:04.162201,262,32.0,32,258,1,1,0,0,1,temperature
2026-06-03T01:02:06.357633,263,32.0,32,260,1,1,0,0,1,temperature
2026-06-03T01:02:08.552903,264,32.0,32,261,1,1,0,0,1,temperature
2026-06-03T01:02:10.678017,265,31.0,32,262,1,1,0,0,1,temperature
2026-06-03T01:02:12.850003,266,31.0,32,264,1,1,0,0,1,temperature
2026-06-03T01:02:15.004415,267,31.0,31,265,1,1,0,0,1,temperature
2026-06-03T01:02:17.153211,268,31.0,32,266,1,1,0,0,1,temperature
2026-06-03T01:02:19.318519,269,31.0,31,267,1,1,0,0,1,temperature
2026-06-03T01:02:21.513733,270,31.0,31,268,1,1,0,0,1,temperature
2026-06-03T01:02:23.678066,271,31.0,31,269,1,1,0,0,1,temperature
2026-06-03T01:02:25.826304,272,31.0,31,270,1,1,0,0,1,temperature
2026-06-03T01:02:28.032175,273,31.0,31,271,1,1,0,0,1,temperature
2026-06-03T01:02:30.185537,274,31.0,31,272,1,1,0,0,1,temperature
2026-06-03T01:02:32.334311,275,31.0,31,273,1,1,0,0,1,temperature
2026-06-03T01:02:34.451542,276,31.0,31,274,1,1,0,0,1,temperature
2026-06-03T01:02:36.646481,277,31.0,31,274,1,1,0,0,1,temperature
2026-06-03T01:02:38.826108,278,30.0,32,274,0,0,0,0,1,none
2026-06-03T01:02:40.951825,279,30.0,32,281,0,0,0,0,1,none
2026-06-03T01:02:43.169915,280,30.0,32,280,0,0,0,0,1,none
2026-06-03T01:02:45.318333,281,30.0,32,274,0,0,0,0,1,none
2026-06-03T01:02:47.451249,282,30.0,32,266,0,0,0,0,1,none
2026-06-03T01:02:49.630849,283,30.0,32,258,0,0,0,0,1,none
2026-06-03T01:02:51.764044,284,30.0,32,251,0,0,0,0,1,none
2026-06-03T01:02:53.938481,285,30.0,32,244,0,0,0,0,1,none
2026-06-03T01:02:56.115136,286,30.0,32,238,0,0,0,0,1,none
2026-06-03T01:02:58.248752,287,30.0,32,233,0,0,0,0,1,none
2026-06-03T01:03:00.466761,288,30.0,32,229,0,0,0,0,1,none
2026-06-03T01:03:02.615597,289,30.0,32,225,0,0,0,0,1,none
2026-06-03T01:03:04.888681,290,30.0,32,222,0,0,0,0,1,none
2026-06-03T01:03:06.951068,291,30.0,32,218,0,0,0,0,1,none
2026-06-03T01:03:09.075897,292,30.0,32,216,0,0,0,0,1,none
2026-06-03T01:03:11.256211,293,30.0,32,214,0,0,0,0,1,none
2026-06-03T01:03:13.423749,294,30.0,32,212,0,0,0,0,1,none
2026-06-03T01:03:15.595776,295,30.0,32,210,0,0,0,0,1,none
2026-06-03T01:03:17.747984,296,30.0,32,208,0,0,0,0,1,none
2026-06-03T01:03:19.920472,297,30.0,32,207,0,0,0,0,1,none
2026-06-03T01:03:22.084573,298,30.0,32,205,0,0,0,0,1,none
2026-06-03T01:03:24.443735,299,30.0,32,204,0,0,0,0,1,none
2026-06-03T01:03:26.373095,300,30.0,32,203,0,0,0,0,1,none
2026-06-03T01:03:28.599999,301,30.0,32,202,0,0,0,0,1,none
2026-06-03T01:03:30.732479,302,30.0,32,201,0,0,0,0,1,none
2026-06-03T01:03:32.919883,303,30.0,32,200,0,0,0,0,1,none
2026-06-03T01:04:33.665203,22,29.0,32,432,0,0,0,0,0,none
2026-06-03T01:04:35.854759,23,29.0,32,459,0,0,0,0,0,none
2026-06-03T01:04:38.026502,24,29.0,32,474,0,0,0,0,0,none
2026-06-03T01:04:40.196543,25,29.0,33,485,0,0,0,0,0,none
2026-06-03T01:04:42.340108,26,29.0,32,493,0,0,0,0,0,none
2026-06-03T01:04:44.518899,27,29.0,33,501,1,0,1,1,0,gas
2026-06-03T01:04:46.667372,28,29.0,33,486,0,0,0,0,0,none
2026-06-03T01:04:48.839480,29,29.0,33,436,0,0,0,0,0,none
2026-06-03T01:04:51.011286,30,29.0,33,393,0,0,0,0,0,none
2026-06-03T01:04:53.182770,31,29.0,33,468,0,0,0,0,0,none
2026-06-03T01:04:55.284087,32,29.0,32,506,1,0,1,1,0,gas
2026-06-03T01:04:57.510769,33,29.0,33,457,0,0,0,0,1,none
2026-06-03T01:04:59.607657,34,29.0,32,432,0,0,0,0,1,none
2026-06-03T01:05:01.815606,35,29.0,32,428,0,0,0,0,1,none
2026-06-03T01:05:03.932720,36,29.0,33,455,0,0,0,0,1,none
